scenario_id,same_initialization,waypoints,method,iterations,stopping_reason,runtime_s,final_objective,final_penalized_objective,final_penalized_gradient_norm,maximum_sampled_constraint_violation,exact_feasible,minimum_clearance_m,condition_number,hessian_classification
9,True,5,Gradient Descent,3000,maximum_iterations,7.392926454544067,0.38840546573520457,0.38840546573520457,0.04404408250554169,0.0,False,-0.003519217324024382,,positive semidefinite
9,True,5,Heavy-Ball,3000,maximum_iterations,7.285363435745239,0.40129338575943047,0.40129338575943047,0.035868155761977216,0.0,True,0.31422984319057723,,positive semidefinite
10,True,5,Gradient Descent,3000,maximum_iterations,9.18234634399414,0.6377697840146858,125.82655553300712,2855.914749011398,0.24724559797698387,False,-0.29552950217578156,1781162431.397786,positive definite
10,True,5,Heavy-Ball,3000,maximum_iterations,9.321208238601685,0.639992398599903,112.57965076398864,2834.5634747950826,0.22163950018233214,False,-0.30471633547473864,95469233.4917459,positive definite
11,True,5,Gradient Descent,3000,maximum_iterations,7.077838659286499,0.4592449771269761,0.4592449771269761,0.024539570709139102,0.0,True,0.01650295390629042,,positive semidefinite
11,True,5,Heavy-Ball,3000,maximum_iterations,7.1090147495269775,0.5312535722515322,0.5312535722515322,0.06780436791753598,0.0,True,0.06080475497592186,,positive semidefinite
12,True,5,Gradient Descent,3000,maximum_iterations,9.557024955749512,0.4337553748060765,0.4337553748060765,0.048805820223087486,0.0,False,-0.0023702690402800375,,positive semidefinite
12,True,5,Heavy-Ball,3000,maximum_iterations,9.303404808044434,0.5859597610478322,0.5859597610478322,0.09315204417476917,0.0,True,0.26796942157476367,,positive semidefinite
13,True,5,Gradient Descent,3000,maximum_iterations,7.0849480628967285,0.27779518982300233,0.27779518982300233,0.018908862895681423,0.0,False,-0.0013943864307857101,,positive semidefinite
13,True,5,Heavy-Ball,3000,maximum_iterations,6.975309133529663,0.35530097879072586,0.35530097879072586,0.12914771345599924,0.0,True,0.21136230176111925,,positive semidefinite
14,True,5,Gradient Descent,3000,maximum_iterations,8.988115072250366,0.3897059566055873,0.3897059566055873,0.03876521916141221,0.0,True,0.0017121411710778744,,positive semidefinite
14,True,5,Heavy-Ball,3000,maximum_iterations,9.15222430229187,0.39391848785954947,0.39391848785954947,0.03704716112387907,0.0,True,0.056674472845112955,,positive semidefinite
15,True,5,Gradient Descent,3000,maximum_iterations,8.94594120979309,0.3819815910005784,0.3819815910005784,0.03366341703128736,0.0,True,6.517578229092713e-05,,positive semidefinite
15,True,5,Heavy-Ball,3000,maximum_iterations,9.042126655578613,0.3894060606472472,0.3894060606472472,0.041478109133113755,0.0,True,0.048364025160582136,,positive semidefinite
16,True,5,Gradient Descent,3000,maximum_iterations,9.388055562973022,0.43772634247839814,301.09444240037294,2258.3624721495034,0.5483217198470709,False,-0.1859766361057733,,positive semidefinite
16,True,5,Heavy-Ball,3000,maximum_iterations,9.351393461227417,0.43769243084995363,301.094408486594,2258.3623979413137,0.5483217198470336,False,-0.1859766361057733,,positive semidefinite
17,True,5,Gradient Descent,3000,maximum_iterations,4.363356590270996,0.43668212045968746,0.43668212045968746,0.045517390799227925,0.0,True,0.0034226893332482966,,positive semidefinite
17,True,5,Heavy-Ball,3000,maximum_iterations,3.248307228088379,0.4717969340075289,0.4717969340075289,0.054429713037588895,0.0,True,0.1815585388020995,,positive semidefinite
18,True,5,Gradient Descent,3000,maximum_iterations,3.320073366165161,0.3425173811218015,0.3425173811218015,0.038479003155451684,0.0,False,-0.0038321132430387816,,positive semidefinite
18,True,5,Heavy-Ball,3000,maximum_iterations,3.260441303253174,0.3436373630210049,0.3436373630210049,0.08807650407787194,0.0,True,0.013589866625546732,,positive semidefinite
19,True,5,Gradient Descent,3000,maximum_iterations,3.2846648693084717,0.39340943838625214,0.39340943838625214,0.0252190842144073,0.0,False,-0.0008307320943055085,,positive semidefinite
19,True,5,Heavy-Ball,3000,maximum_iterations,3.2300736904144287,0.5895623739218183,0.5895623739218183,0.1026378121255994,0.0,True,0.10288267748842306,,positive semidefinite
20,True,5,Gradient Descent,3000,maximum_iterations,3.2061147689819336,0.3986145692296603,0.3986145692296603,0.03981057151603598,0.0,False,-0.003197490029947847,,positive semidefinite
20,True,5,Heavy-Ball,3000,maximum_iterations,3.230149745941162,0.4160981278037098,0.4160981278037098,0.040928784987946394,0.0,True,0.3251243076147228,,positive semidefinite
21,True,5,Gradient Descent,3000,maximum_iterations,3.1932666301727295,0.32078849679530524,0.32078849679530524,0.040937114339471836,0.0,True,0.00386346777998936,,positive semidefinite
21,True,5,Heavy-Ball,3000,maximum_iterations,3.1934571266174316,0.34742312552825527,0.34742312552825527,0.040449226784872776,0.0,True,0.12178294719651639,,positive semidefinite
22,True,5,Gradient Descent,3000,maximum_iterations,6.266387701034546,0.27936491078897385,0.27936491078897385,0.036844625607089766,0.0,False,-0.00047236931710115115,,positive semidefinite
22,True,5,Heavy-Ball,3000,maximum_iterations,6.309595346450806,0.28599658031552655,0.28599658031552655,0.03264040595259481,0.0,True,0.01576623615907624,,positive semidefinite
23,True,5,Gradient Descent,3000,maximum_iterations,6.255374193191528,0.34778061467623567,0.34778061467623567,0.021089610161783744,0.0,True,0.008112436430028902,,positive semidefinite
23,True,5,Heavy-Ball,3000,maximum_iterations,6.107402801513672,0.35289140719442313,0.35289140719442313,0.029654627407326672,0.0,True,0.17457970764798425,,positive semidefinite
24,True,5,Gradient Descent,3000,maximum_iterations,6.425118923187256,0.5352814586028741,0.5352814586028741,0.06433684621803064,0.0,True,0.00670231581002545,,positive semidefinite
24,True,5,Heavy-Ball,3000,maximum_iterations,6.398782730102539,0.6334453093583234,0.6334453093583234,352.86829892317365,0.0,True,0.07200863164344495,,positive semidefinite
